seed,generator,n_real,n_synth,n_real_efectivo,n_train,tasa_positivos_train,epocas,segundos,val_pr_auc,val_roc_auc,val_f1,val_precision,val_recall,val_threshold,val_base_rate,val_lift,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall,test_threshold,test_base_rate,test_lift
1,ruido,2000,2000,2000,4000,0.525,100,65.7,0.7426422934513321,0.8725277421302936,0.6935201401050788,0.7644787644787645,0.6346153846153846,0.9243177310118157,0.1327659574468085,5.593619838495611,0.5550781299118932,0.8715569481656399,0.4744897959183674,0.4449760765550239,0.5081967213114754,0.9243177310118157,0.07790549169859515,7.125019274114957
1,gaussiano,2000,250,2000,2250,0.15555555555555556,100,41.5,0.6993864984563398,0.8713309302735212,0.6533864541832669,0.8631578947368421,0.5256410256410257,0.30745800172581383,0.1327659574468085,5.2678149723474315,0.4987933131562281,0.8075473411743336,0.45901639344262296,0.5737704918032787,0.3825136612021858,0.30745800172581383,0.07790549169859515,6.402543675431583
1,gaussiano,2000,500,2000,2500,0.24,100,45.6,0.7266151387964775,0.8755252761631563,0.6733067729083665,0.8894736842105263,0.5416666666666666,0.3190402332975079,0.1327659574468085,5.472902487729879,0.5072238812466323,0.8126661923719277,0.43125,0.5036496350364964,0.3770491803278688,0.3190402332975079,0.07790549169859515,6.510759000264149
1,gaussiano,2000,1000,2000,3000,0.36666666666666664,100,51.9,0.7388346757810665,0.8746319921491659,0.7088122605363985,0.8809523809523809,0.592948717948718,0.12034201616662417,0.1327659574468085,5.564940666940726,0.50449418493011,0.8121616235007997,0.4059701492537313,0.4473684210526316,0.37158469945355194,0.12034201616662417,0.07790549169859515,6.475720439348789
1,gaussiano,2000,2000,2000,4000,0.525,100,64.6,0.7338982244212403,0.8870011449133137,0.7030075187969925,0.85,0.5993589743589743,0.142958872130313,0.1327659574468085,5.5277590621471635,0.5096882983245221,0.829175685835238,0.4340175953079179,0.46835443037974683,0.40437158469945356,0.142958872130313,0.07790549169859515,6.542392419477062
1,student_t,2000,250,2000,2250,0.15555555555555556,100,44.2,0.668358822088317,0.8410725069827131,0.6613545816733067,0.8736842105263158,0.532051282051282,0.25987520633625383,0.1327659574468085,5.034112922780593,0.37264455949536934,0.7286075412863479,0.37815126050420167,0.8181818181818182,0.2459016393442623,0.25987520633625383,0.07790549169859515,4.78329000139138
1,student_t,2000,500,2000,2500,0.24,100,48.4,0.6894025271274016,0.8512949472836616,0.6879699248120301,0.8318181818181818,0.5865384615384616,0.3206345420923054,0.1327659574468085,5.19261518829934,0.4063056656122305,0.7564710957722174,0.39245283018867927,0.6341463414634146,0.28415300546448086,0.3206345420923054,0.07790549169859515,5.215366166793057
1,student_t,2000,1000,2000,3000,0.36666666666666664,100,52.2,0.6978691915869368,0.8528267406456809,0.6595365418894831,0.7429718875502008,0.592948717948718,0.39267619453808844,0.1327659574468085,5.2563865391964795,0.4399370102406091,0.7620705488195612,0.3719512195121951,0.4206896551724138,0.3333333333333333,0.39267619453808844,0.07790549169859515,5.647060311776999
1,student_t,2000,2000,2000,4000,0.525,100,60.5,0.6996770293992087,0.850090272011273,0.6654343807763401,0.7860262008733624,0.5769230769230769,0.45539935636520384,0.1327659574468085,5.2700032663081435,0.4826965577906896,0.8155876461357595,0.41721854304635764,0.5294117647058824,0.3442622950819672,0.45539935636520384,0.07790549169859515,6.195924668034589
1,vae,2000,250,2000,2250,0.15555555555555556,100,42.7,0.6645409463717887,0.8399181575702674,0.63671875,0.815,0.5224358974358975,0.24490259665739136,0.1327659574468085,5.005356487095204,0.42911446225086597,0.7590633183476377,0.4043321299638989,0.5957446808510638,0.30601092896174864,0.24490259665739136,0.07790549169859515,5.508141376105378
1,vae,2000,500,2000,2500,0.24,100,42.5,0.656335559366827,0.8326838152034421,0.6374501992031872,0.8421052631578947,0.5128205128205128,0.04928145937684201,0.1327659574468085,4.9435530913847545,0.4290230175722854,0.7530690401586364,0.4072727272727273,0.6086956521739131,0.30601092896174864,0.04928145937684201,0.07790549169859515,5.506967586214746
1,vae,2000,1000,2000,3000,0.36666666666666664,100,47.3,0.651787226077611,0.8147709544299337,0.6631016042780749,0.7469879518072289,0.5961538461538461,0.2730975081374666,0.1327659574468085,4.9092948118025195,0.41191631932882666,0.7429902769578534,0.35014836795252224,0.38311688311688313,0.3224043715846995,0.2730975081374666,0.07790549169859515,5.287384885811004
1,vae,2000,2000,2000,4000,0.525,100,57.5,0.6457805009154819,0.8202659092624746,0.6025878003696857,0.7117903930131004,0.5224358974358975,0.027666601956454134,0.1327659574468085,4.864051849844175,0.5047169245767201,0.8005590623092098,0.31029986962190353,0.20376712328767124,0.6502732240437158,0.027666601956454134,0.07790549169859515,6.478579540058555
1,gan,2000,250,2000,2250,0.15555555555555556,100,42.6,0.7222399793079908,0.8588060818801742,0.7075306479859895,0.7799227799227799,0.6474358974358975,0.13119471762586044,0.1327659574468085,5.439948562095444,0.4403384776489755,0.7707768846908758,0.3112033195020747,0.2508361204013378,0.4098360655737705,0.13119471762586044,0.07790549169859515,5.652213573756521
